status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
5550296508_10157350209606509,"The home from ""Family Matters,"" the beloved '90s sitcom, will be demolished and turned into a three-unit residence http://cnn.it/2fmRP2K",The 'Family Matters' home will be demolished,video,https://www.facebook.com/cnn/videos/10157350209606509/,2017-09-22 15:31:01,65,16,5,30,19,4,2,10,1,-1
5550296508_10157350125556509,The entire system is down. That means people in Puerto Rico could be without power for four to six months,Maria leaves more than 3 million Americans without power. Is help on the way?,link,http://cnn.it/2wGXmbu,2017-09-22 15:00:18,1580,167,359,384,34,334,4,812,13,-1
5550296508_10157349957716509,"The high-stakes standoff between the U.S., China and North Korea is heating up",North Korea: What comes after Trump's 'final warning' to China on trade?,link,http://cnn.it/2yinSEq,2017-09-22 14:00:21,621,191,93,460,40,24,16,19,62,0
5550296508_10157349838541509,"""I cannot in good conscience vote for the Graham-Cassidy proposal.""

Sen. John McCain won't back Graham-Cassidy bill, appearing to halt Republicans' latest effort to repeal and replace the Obamacare http://cnn.it/2hmeRXM",McCain says he won't back Graham-Cassidy bill,video,https://www.facebook.com/cnn/videos/10157349838541509/,2017-09-22 13:26:40,9728,1336,838,7499,1927,37,184,5,76,0
5550296508_10157349745331509,"BREAKING: Sen. John McCain announced in a statement that he cannot ""in good conscience"" vote for the GOP's latest plan to overhaul Obamacare","McCain won't back Graham-Cassidy bill, likely ending GOP health care push",link,http://cnn.it/2fn6haO,2017-09-22 13:04:21,38700,2173,3281,30576,7210,129,608,10,170,-3
5550296508_10157349733751509,It's a new effort to tackle the deadly opioid addiction crisis in the US,CVS will limit opioid prescriptions to 7 days,link,http://cnn.it/2fDS71N,2017-09-22 13:00:31,2152,417,279,1750,162,38,16,8,179,-1
5550296508_10157349624846509,There are three congressional committees investigating Russian interference in the election. But President Donald J. Trump still to denies it,"Trump says this is all a hoax. Mueller, Congress and Facebook disagree.",link,http://cnn.it/2fGsgGF,2017-09-22 12:30:47,1650,802,214,834,50,54,578,19,115,0
5550296508_10157349513781509,"The move formally rescinds how schools should handle sexual assaults. Earlier, Betsy DeVos said the previous guidance denied proper due process to those accused",Education Department withdraws Obama-era campus sexual assault guidance,link,http://cnn.it/2yixcs0,2017-09-22 12:00:05,2585,596,348,467,61,65,7,124,1861,0
5550296508_10157349437186509,Just in: Trump administration to replace travel ban with country-specific restrictions http://cnn.it/2xnARG0,Trump administration to replace travel ban with country-specif...,video,https://www.facebook.com/cnn/videos/10157349437186509/,2017-09-22 11:43:30,809,281,107,414,49,28,29,22,267,0
5550296508_10157349326231509,"See the moment protesters disrupt former FBI Director James Comey, while he was speaking at Howard University http://cnn.it/2hp4VZZ",Comey speaks over protesters at Howard University,video,https://www.facebook.com/cnn/videos/10157349326231509/,2017-09-22 11:19:42,1364,688,168,877,100,62,217,44,64,0
5550296508_10157349234656509,Just in: The Donald J. Trump administration will unveil more tailored restrictions on travelers from certain countries as a replacement to the controversial travel ban,Trump administration to replace travel ban with country-specific restrictions,link,http://cnn.it/2fFrQAg,2017-09-22 10:56:22,848,244,62,462,47,19,30,16,274,0
5550296508_10157349129636509,The course is a prerequisite for ground intelligence officers and considered one of the hardest.,First woman to graduate Marine's Infantry Officer Course,link,http://cnn.it/2yhOaa9,2017-09-22 10:30:17,2620,120,221,2263,301,50,6,0,0,0
5550296508_10157349050296509,We’re watching former FBI Director James Comey speak at Howard University. http://cnn.it/2xWM3wp,Comey at Howard University,video,https://www.facebook.com/cnn/videos/10157349050296509/,2017-09-22 10:23:23,2690,2613,589,1825,586,62,56,25,136,0
5550296508_10157348990781509,"Emotional video shows rescuers in Mexico singing their national anthem while standing among high piles of rubble and debris, showing the mass devastation of the earthquake http://cnn.it/2xzJqPT",Rescuers sing Mexican National Anthem,video,https://www.facebook.com/cnn/videos/10157348990781509/,2017-09-22 10:00:53,9364,438,1752,4464,2174,42,6,2675,3,0
5550296508_10157348888706509,Teens aren't what they used to be.,Why today's teens are taking longer to grow up,link,http://cnn.it/2xzFuyB,2017-09-22 09:30:58,1247,462,275,1028,39,27,136,12,5,0
5550296508_10157348786161509,Dramatic video shows the moment a woman and two children were found stranded on top of a capsized vessel after Hurricane Maria tore through Puerto Rico http://cnn.it/2hmHc0d,Woman and children rescued from capsized boat,video,https://www.facebook.com/cnn/videos/10157348786161509/,2017-09-22 09:00:59,5238,170,1619,2539,114,1475,9,1099,2,0
5550296508_10157348651426509,Whoa.,NASA to slingshot spaceship around Earth to reach asteroid,link,http://cnn.it/2fmQicT,2017-09-22 08:31:16,943,80,200,798,40,96,8,0,1,0
5550296508_10157348524456509,"Sen. Bill Cassidy says, ""There will be more people covered.""

But many in the health care community -- doctors, hospitals and policy experts -- say it's a more a question of how many people will lose their insurance.",Millions could be left uninsured under Obamacare repeal bill,link,http://cnn.it/2jRdKAs,2017-09-22 08:00:52,1692,728,329,576,25,28,55,193,815,0
5550296508_10157348423081509,"That could have been much, much worse.",London Underground bomb 'packed with shrapnel',link,http://cnn.it/2hlumiQ,2017-09-22 07:30:39,263,40,35,163,7,44,1,30,18,0
5550296508_10157348308241509,The big question: buy the 8 or wait for the X?,The iPhone 8 lands with a thud,link,http://cnn.it/2fFBxPi,2017-09-22 07:00:05,1026,328,90,809,26,11,176,2,2,0
5550296508_10157348302116509,"Watch the large eye of Hurricane Maria as it lumbers toward the popular vacation islands of Turks and Caicos and the Bahamas, after leaving Puerto Rico and its Caribbean neighbors battered, drenched and largely without power. More at CNN Weather.",Hurricane Maria tracker,video,https://www.facebook.com/cnn/videos/10157348302116509/,2017-09-22 06:58:33,6209,1657,2210,2791,182,839,34,2314,49,0
5550296508_10157348234381509,"For the third straight night, Jimmy Kimmel took on the new GOP health care bill, slamming President Donald J. Trump for supporting it",Kimmel fires back at Trump,link,http://cnn.it/2wEINFx,2017-09-22 06:30:44,8662,792,312,7331,1090,14,165,6,57,-1
5550296508_10157348168081509,Facebook could be on the verge of a big change.,Facebook is planning big changes to political ads on its site. Are they enough?,link,http://cnn.it/2yhbe92,2017-09-22 06:02:02,835,253,87,710,41,20,51,7,6,0
5550296508_10157348097751509,"Hundreds of thousands of Rohingya Muslims have fled Myanmar and are now living in Bangladesh. 60% of those who fled are children, according to UNICEF. http://cnn.it/2xzkw34","60% of those who fled are children, according to UNICEF",video,https://www.facebook.com/cnn/videos/10157348097751509/,2017-09-22 05:31:27,2073,239,438,783,24,12,25,1174,55,0
5550296508_10157348064036509,"JUST IN: Uber barred from London after transport regulator deems it ""not fit and proper"" to hold operator license",London says it won't renew Uber's license,link,http://cnn.it/2fnhQyO,2017-09-22 05:15:57,728,112,162,508,31,127,32,10,20,0
5550296508_10157348040606509,"The bomb that partially exploded on the London Underground last week could have wreaked devastation, says the city's police chief.","Tube bomb ""packed with shrapnel""",link,http://cnn.it/2xmj4yM,2017-09-22 05:02:04,318,36,26,250,12,33,0,11,12,0
5550296508_10157347989811509,"""First of all, calm down. Re-tweets don't imply endorsement.""",Ex-CIA operative Valerie Plame Wilson apologizes for tweet of anti-Semitic article,link,http://cnn.it/2ygNLEM,2017-09-22 04:31:03,445,167,30,309,19,37,13,6,61,0
5550296508_10157347947436509,"The DNA of human embryos has been edited for the first time, but this milestone is not without controversy.",Gene editing of human embryos reveals new fertility clue,link,http://cnn.it/2fEixk0,2017-09-22 04:01:21,601,45,95,514,20,59,1,1,6,0
5550296508_10157347890581509,"The Gatorade Company will no longer be able to make disparaging comments about water, according to a settlement",Gatorade punished for dissing water,link,http://cnn.it/2hmfD3x,2017-09-22 03:32:03,347,61,32,254,8,7,75,1,2,0
5550296508_10157347854601509,"If Pyongyang follows through on the threat, it would be the first nuclear weapon detonated in the atmosphere in decades",What happens if North Korea tests a hydrogen bomb over the Pacific?,link,http://cnn.it/2fF8USk,2017-09-22 03:15:07,3451,925,812,2191,31,253,57,175,744,0
